RF,comparisons Count,accuracy,
RF_20_t6_pruned_with_sigma_0_0,200.0,0.5671579671942147,
RF_20_t6_pruned_with_sigma_0_1,200.0,0.6475415021522609,
RF_20_t6_pruned_with_sigma_0_2,200.0,0.6634482672467741,
RF_20_t6_pruned_with_sigma_0_3,199.7,0.7146623618527406,
RF_20_t7,199.0,0.5725802245800259,
RF_20_t7_pruned_with_sigma_0_0,199.0,0.6309513894287402,
RF_20_t7_pruned_with_sigma_0_1,200.0,0.6558824765091098,
RF_20_t7_pruned_with_sigma_0_2,200.0,0.6744901668534982,
RF_20_t7_pruned_with_sigma_0_3,199.0,0.7225493154396725,
RF_20_t8,199.0,0.6314083166676092,
RF_20_t8_pruned_with_sigma_0_0,199.0,0.6262054724431593,
RF_20_t8_pruned_with_sigma_0_1,200.0,0.6540896036565378,
RF_20_t8_pruned_with_sigma_0_2,200.0,0.6961547424455412,
RF_20_t8_pruned_with_sigma_0_3,199.0,0.7430743107087614,
RF_20_t9,169.0,0.6115861904890001,
RF_20_t9_pruned_with_sigma_0_0,199.0,0.7067118415068767,
RF_20_t9_pruned_with_sigma_0_1,199.0,0.7162610322133806,
RF_20_t9_pruned_with_sigma_0_2,199.0,0.7196267335780522,
RF_20_t9_pruned_with_sigma_0_3,199.0,0.7588479759801195,
RF_20_t10,103.0,0.6708804192611373,
RF_20_t10_pruned_with_sigma_0_0,178.0,0.659179653592223,
RF_20_t10_pruned_with_sigma_0_1,199.0,0.7406064959027752,
RF_20_t10_pruned_with_sigma_0_2,199.0,0.7126327824960436,
RF_20_t10_pruned_with_sigma_0_3,199.0,0.7613313073346066,
RF_20_t11,52.0,0.6907088682016111,
RF_20_t11_pruned_with_sigma_0_0,123.0,0.7234291164242904,
RF_20_t11_pruned_with_sigma_0_1,199.0,0.7548300162099594,
RF_20_t11_pruned_with_sigma_0_2,199.0,0.7050353035889625,
RF_20_t11_pruned_with_sigma_0_3,199.0,0.7606602153710667,
RF_20_t12,25.0,0.6880280713195042,
RF_20_t12_pruned_with_sigma_0_0,70.0,0.7105170386795763,
RF_20_t12_pruned_with_sigma_0_1,155.0,0.7472437899788283,
RF_20_t12_pruned_with_sigma_0_2,199.0,0.725535197005768,
RF_20_t12_pruned_with_sigma_0_3,199.0,0.762481587793456,
RF_20_t13,14.0,0.6503508161404971,
RF_20_t13_pruned_with_sigma_0_0,40.0,0.7265716244689069,
RF_20_t13_pruned_with_sigma_0_1,109.0,0.7463236027480246,
RF_20_t13_pruned_with_sigma_0_2,186.0,0.7449541732991288,
